year,month,spx_tr_real,y10_bm_real,cpi,spx_tr_cum,y10_bm_cum,cape_shiller
1897,9,0.0217000000,-0.0246000000,6.755,418.30,317.08,19.3724
1897,10,-0.0155000000,0.0301000000,6.660,406.02,322.03,19.0280
1897,11,-0.0323000000,0.0100000000,6.660,392.89,325.26,18.3584
1897,12,0.0245000000,0.0104000000,6.660,402.53,328.65,18.7488
1898,1,0.0303000000,0.0030000000,6.660,414.73,329.64,19.2490
1898,2,-0.0132000000,-0.0339000000,6.755,415.10,323.01,18.9181
1898,3,-0.0422000000,-0.0310000000,6.755,397.58,312.98,18.0422
1898,4,-0.0141000000,-0.0132000000,6.755,391.98,308.86,17.7051
1898,5,-0.0015000000,-0.0506000000,7.231,418.95,313.90,17.5956
1898,6,0.1154000000,0.0898000000,6.755,436.55,319.59,19.5448
1898,7,0.0213000000,0.0437000000,6.660,439.58,328.87,19.8589
1898,8,0.0403000000,0.0066000000,6.660,457.31,331.03,20.5449
1898,9,0.0010000000,0.0031000000,6.660,457.79,332.07,20.4427
1898,10,-0.0180000000,0.0050000000,6.660,449.57,333.74,19.9472
1898,11,0.0361000000,-0.0008000000,6.660,465.81,333.48,20.5274
1898,12,0.0501000000,-0.0023000000,6.755,496.14,337.46,21.4036
1899,1,0.0789000000,0.0099000000,6.755,535.31,340.81,22.9328
1899,2,0.0119000000,-0.0310000000,6.946,556.94,339.54,23.0481
1899,3,0.0167000000,0.0060000000,6.946,566.25,341.58,23.2797
1899,4,0.0012000000,-0.0033000000,7.041,574.70,345.12,23.1524
1899,5,-0.0393000000,0.0006000000,7.041,552.14,345.33,22.0913
1899,6,-0.0331000000,-0.0027000000,7.136,541.07,349.04,21.2121
1899,7,0.0237000000,-0.0163000000,7.231,561.27,347.94,21.5614
1899,8,0.0148000000,-0.0081000000,7.326,577.04,349.67,21.7262
1899,9,-0.0455000000,-0.0355000000,7.612,572.24,350.39,20.5911
1899,10,-0.0144000000,-0.0098000000,7.707,571.07,351.29,20.1537
1899,11,0.0092000000,-0.0044000000,7.802,583.43,354.05,20.1965
1899,12,-0.0767000000,0.0135000000,7.897,545.27,363.22,18.5126
1900,1,0.0164000000,0.0025000000,7.897,554.22,364.12,18.6743
1900,2,0.0090000000,-0.0057000000,7.992,565.93,366.40,18.7038
1900,3,0.0111000000,0.0122000000,7.992,572.21,370.88,18.7758
1900,4,0.0159000000,-0.0137000000,7.992,581.30,365.80,18.9364
1900,5,-0.0209000000,0.0356000000,7.802,555.58,369.79,18.4032
1900,6,-0.0146000000,0.0144000000,7.707,540.82,370.55,17.9927
1900,7,-0.0090000000,-0.0139000000,7.802,542.59,369.91,17.6895
1900,8,0.0296000000,0.0064000000,7.707,551.84,367.73,18.0696
1900,9,-0.0321000000,-0.0018000000,7.802,540.73,371.59,17.3419
1900,10,0.0528000000,0.0153000000,7.707,562.32,372.68,17.4699
1900,11,0.0818000000,0.0207000000,7.707,608.32,380.39,18.0111
1900,12,0.0769000000,0.0261000000,7.612,646.99,385.50,19.5664
1901,1,0.0195000000,-0.0068000000,7.707,667.84,387.64,20.9786
1901,2,0.0414000000,0.0149000000,7.612,686.88,388.57,21.6791
1901,3,0.0387000000,-0.0012000000,7.612,713.45,388.10,22.3476
1901,4,0.1003000000,0.0229000000,7.517,775.22,392.04,24.4097
1901,5,-0.0478000000,-0.0017000000,7.517,738.13,391.39,23.0640
1901,6,0.1025000000,0.0056000000,7.517,813.76,393.58,25.2385
1901,7,-0.0761000000,-0.0133000000,7.612,761.35,393.27,23.1448
1901,8,0.0042000000,-0.0193000000,7.707,774.07,390.49,22.9624
1901,9,-0.0142000000,-0.0030000000,7.802,772.48,394.11,22.5905
1901,10,-0.0083000000,0.0124000000,7.802,766.08,398.98,22.2529
1901,11,0.0121000000,-0.0097000000,7.897,784.80,399.93,22.3751
1901,12,-0.0248000000,-0.0086000000,7.992,774.56,401.25,21.6802
1902,1,0.0368000000,0.0163000000,7.897,793.52,402.93,22.3403
